2018-11-02 14:07:52.1851 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100004C 

2018-11-02 14:07:55.1883 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100004E 

2018-11-02 14:07:55.6553 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000050 

2018-11-02 14:07:56.0493 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000052 

2018-11-02 14:07:56.4583 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100005D 

2018-11-02 14:07:56.9904 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000060 

2018-11-02 14:07:57.4034 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000062 

2018-11-02 14:07:57.8264 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000065 

2018-11-02 14:07:58.3535 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000069 

2018-11-02 14:08:08.2150 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100006C 

2018-11-02 14:08:12.8753 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071100005 

2018-11-02 14:08:13.2623 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071100006 

2018-11-02 14:08:13.6653 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071100007 

2018-11-02 14:08:14.1254 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071100008 

2018-11-02 14:08:14.5174 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071100009 

2018-11-02 14:08:14.9304 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07110000A 

2018-11-02 14:08:15.3544 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07110000B 

2018-11-02 14:08:15.7865 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07110000C 

2018-11-02 14:08:16.2015 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07110000D 

2018-11-02 14:08:16.6625 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07110000E 

2018-11-02 14:08:17.0965 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07110000F 

2018-11-02 14:08:17.6196 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071100010 

2018-11-02 14:08:18.0366 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071100015 

2018-11-02 14:08:18.4066 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071100016 

2018-11-02 14:08:18.8646 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100001E 

2018-11-02 14:08:19.2927 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100001F 

2018-11-02 14:08:19.6707 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000020 

2018-11-02 14:08:20.0837 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q606130023 

2018-11-02 14:08:20.5597 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060910094 

2018-11-02 14:08:20.9268 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060910095 

2018-11-02 14:08:21.3768 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060920001 

2018-11-02 14:08:21.8168 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000004 

2018-11-02 14:08:22.2748 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060920042 

2018-11-02 14:08:22.7439 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060920046 

2018-11-02 14:08:23.1709 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060920068 

2018-11-02 14:08:23.5829 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060920069 

2018-11-02 14:08:23.9799 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060920072 

2018-11-02 14:08:24.4159 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q051000002 

2018-11-02 14:08:24.8270 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q051000003 

2018-11-02 14:08:25.2000 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q051000008 

2018-11-02 14:08:25.5860 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100000C 

2018-11-02 14:08:26.0150 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100000D 

2018-11-02 14:08:26.3901 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100000F 

2018-11-02 14:08:26.9601 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000010 

2018-11-02 14:08:27.4071 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930064 

2018-11-02 14:08:27.8751 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930065 

2018-11-02 14:08:28.3182 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930066 

2018-11-02 14:08:28.7912 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930067 

